"xtmp","power_x","power_x_l","power_x_u","power_x_cl","power_x_cu","precision_x","precision_x_l","precision_x_u","precision_x_cl","precision_x_cu","no_clusters_x","no_clusters_l","no_clusters_u","no_clusters_cl","no_clusters_cu"
57,0.100660295924611,0.100660295924611,0.100660295924611,0.100582965062303,0.100737775983206,37141.3479940095,37141.3479940095,37141.3479940095,37107.5410757434,37175.2165682025,6,6,6,6,6
58,0.102150647111744,0.102150647111744,0.102150647111744,0.102070421772537,0.102231030042358,37792.195531746,37792.195531746,37792.195531746,37757.1939574223,37827.2620604176,6,6,6,6,6
59,0.103643942685165,0.103643942685165,0.103643942685165,0.103560765110121,0.103727286562099,38443.0170636672,38443.0170636672,38443.0170636672,38406.800158575,38479.3023369782,6,6,6,6,6
60,0.105140167854292,0.105140167854292,0.105140167854292,0.105053980167455,0.105226530874684,39093.8125913319,39093.8125913319,39093.8125913319,39056.3596842328,39131.3373979467,6,6,6,6,6
61,0.106639306439528,0.106639306439528,0.106639306439528,0.106550050655461,0.106728746915794,39744.5821162985,39744.5821162985,39744.5821162985,39705.8725394261,39783.3672433857,6,6,6,6,6
62,0.108141340974341,0.108141340974341,0.108141340974341,0.10804895900558,0.108233917326685,40395.3256401254,40395.3256401254,40395.3256401254,40355.3387291845,40435.3918733578,6,6,6,6,6
63,0.109646252799391,0.109646252799391,0.109646252799391,0.109550686463828,0.109742023548387,41046.0431643708,41046.0431643708,41046.0431643708,41004.758258537,41087.4112879257,6,6,6,6,6
64,0.111154022149443,0.111154022149443,0.111154022149443,0.111055213177642,0.111253045908686,41696.734690593,41696.734690593,41696.734690593,41654.1311325118,41739.4254871519,6,6,6,6,6
65,0.112664628233703,0.112664628233703,0.112664628233703,0.112562518276138,0.112766963702532,42347.4002203498,42347.4002203498,42347.4002203498,42303.4573561365,42391.4344710989,6,6,6,6,6
66,0.114178049310166,0.114178049310166,0.114178049310166,0.114072579944393,0.114283755266452,42998.0397551993,42998.0397551993,42998.0397551993,42952.7369344378,43043.4382398293,6,6,6,6,6
67,0.11569426275449,0.11569426275449,0.11569426275449,0.115585375492245,0.115803398047498,43648.653296699,43648.653296699,43648.653296699,43601.9698724419,43695.4367934057,6,6,6,6,6
68,0.117213245123877,0.117213245123877,0.117213245123877,0.117100881418109,0.117325868667193,44299.2408464069,44299.2408464069,44299.2408464069,44251.156175174,44347.4301318907,6,6,6,6,6
69,0.118734972216371,0.118734972216371,0.118734972216371,0.118619073468198,0.118851142980899,44949.8024058802,44949.8024058802,44949.8024058802,44900.2958476589,44999.4182553468,6,6,6,6,6
70,0.120259419125971,0.120259419125971,0.120259419125971,0.120139926691574,0.120379196132995,45600.3379766764,45600.3379766764,45600.3379766764,45549.3888949204,45651.4011638366,6,6,6,6,6
71,0.12178656029389,0.12178656029389,0.12178656029389,0.121663415491332,0.121910002608209,46250.8475603528,46250.8475603528,46250.8475603528,46198.4353219817,46303.3788574227,6,6,6,6,6
72,0.123316369556281,0.123316369556281,0.123316369556281,0.123189513672263,0.123443536279404,46901.3311584665,46901.3311584665,46901.3311584665,46847.4351338652,46955.3513361677,6,6,6,6,6
73,0.124848820188716,0.124848820188716,0.124848820188716,0.124718194485258,0.124979770452129,47551.7887725745,47551.7887725745,47551.7887725745,47496.3883355928,47607.318600134,6,6,6,6,6
74,0.126383884947666,0.126383884947666,0.126383884947666,0.12624943066873,0.126518677906164,48202.2204042337,48202.2204042337,48202.2204042337,48145.2949321855,48259.2806493843,6,6,6,6,6
75,0.127921536109232,0.127921536109232,0.127921536109232,0.127783194487268,0.128060230934313,48852.626055001,48852.626055001,48852.626055001,48794.1549286634,48911.2374839812,6,6,6,6,6
76,0.129461745505318,0.129461745505318,0.129461745505318,0.129319457767748,0.12960440137865,49503.0057264328,49503.0057264328,49503.0057264328,49442.9683300463,49563.1891039871,6,6,6,6,6
77,0.131004484557462,0.131004484557462,0.131004484557462,0.130858191933099,0.13115116066441,50153.3594200858,50153.3594200858,50153.3594200858,50091.735141353,50215.1355094647,6,6,6,6,6
78,0.132549724308495,0.132549724308495,0.132549724308495,0.132399368033891,0.132700479831712,50803.6871375163,50803.6871375163,50803.6871375163,50740.4553676016,50867.0767004766,6,6,6,6,6
79,0.134097435452177,0.134097435452177,0.134097435452177,0.133942956777907,0.134252329565264,51453.9888802806,51453.9888802806,51453.9888802806,51389.1290138096,51519.0126770852,6,6,6,6,6
80,0.135647588360981,0.135647588360981,0.135647588360981,0.135488928557866,0.13580668022221,52104.2646499349,52104.2646499349,52104.2646499349,52037.7560849935,52170.9434393532,6,6,6,6,6
81,0.137200153112143,0.137200153112143,0.137200153112143,0.1370372534774,0.137363501858239,52754.5144480352,52754.5144480352,52754.5144480352,52686.3365861695,52822.868987343,6,6,6,6,6
82,0.13875509951211,0.13875509951211,0.13875509951211,0.138587901375444,0.138922764252103,53404.7382761373,53404.7382761373,53404.7382761373,53334.8705223528,53474.7893211174,6,6,6,6,6
83,0.140312397119497,0.140312397119497,0.140312397119497,0.140140841849123,0.140484436928633,54054.9361357971,54054.9361357971,54054.9361357971,53983.3578985579,54126.7044407387,6,6,6,6,6
84,0.141872015266657,0.141872015266657,0.141872015266657,0.141696044275263,0.142048489180379,54705.1080285702,54705.1080285702,54705.1080285702,54631.7987197986,54778.6143462696,6,6,6,6,6
85,0.143433923079969,0.143433923079969,0.143433923079969,0.143253477830613,0.143614890087948,55355.2539560121,55355.2539560121,55355.2539560121,55280.1929910881,55430.5190377726,6,6,6,6,6
86,0.144998089498919,0.144998089498919,0.144998089498919,0.144813111510861,0.145183608539159,56005.3739196782,56005.3739196782,56005.3739196782,55928.5407174386,56082.4185153103,6,6,6,6,6
